rice_id;chiave;tid;timestamp_TO_DELETE;valore;timestamp
284263;osType;117764;NULL;WINDOWS;"2026-01-07 16:22:29"
284263;osVersion;117764;NULL;10.0.19045.6466;"2026-01-07 16:22:29"
284265;osType;117796;NULL;WINDOWS;"2026-01-21 06:43:21"
284265;osVersion;117796;NULL;10.0.26100.7623;"2026-01-21 06:43:21"
284268;osType;117571;NULL;WINDOWS;"2026-01-21 09:11:38"
284268;osVersion;117571;NULL;10.0.19045.6466;"2026-01-21 09:11:38"
284273;osType;117572;NULL;WINDOWS;"2026-01-18 06:51:06"
284273;osVersion;117572;NULL;10.0.26200.7623;"2026-01-18 06:51:06"
284277;osType;66589;NULL;WINDOWS;"2026-01-20 17:43:16"
284277;osVersion;66589;NULL;10.0.19045.6466;"2026-01-20 17:43:16"
284278;osType;82487;NULL;WINDOWS;"2026-01-21 09:28:01"
284278;osVersion;82487;NULL;10.0.26200.7309;"2026-01-21 09:28:01"
284280;osType;94712;NULL;WINDOWS;"2026-01-16 19:42:26"
284280;osVersion;94712;NULL;10.0.26100.7623;"2026-01-16 19:42:26"
284289;osType;118033;NULL;WINDOWS;"2026-01-21 06:04:02"
284289;osVersion;118033;NULL;10.0.19045.6466;"2026-01-21 06:04:02"
284292;osType;117574;NULL;WINDOWS;"2026-01-21 07:49:43"
284292;osVersion;117574;NULL;10.0.19045.6466;"2026-01-21 07:49:43"
284294;osType;117585;NULL;WINDOWS;"2026-01-20 10:05:53"
284294;osVersion;117585;NULL;10.0.26200.7623;"2026-01-20 10:05:53"
284296;osType;98279;NULL;WINDOWS;"2026-01-21 09:02:14"
284296;osVersion;98279;NULL;10.0.26100.7623;"2026-01-21 09:02:14"
284302;osType;118310;NULL;WINDOWS;"2026-01-17 07:12:10"
284302;osVersion;118310;NULL;10.0.19045.6809;"2026-01-17 07:12:10"
284304;osType;117801;NULL;WINDOWS;"2026-01-21 07:09:23"
284304;osVersion;117801;NULL;10.0.19045.6466;"2026-01-21 07:09:23"
284305;osType;117802;NULL;WINDOWS;"2026-01-21 05:29:42"
284305;osVersion;117802;NULL;10.0.26200.7623;"2026-01-21 05:29:42"
284306;osType;117803;NULL;WINDOWS;"2026-01-21 07:10:39"
284306;osVersion;117803;NULL;10.0.19045.6466;"2026-01-21 07:10:39"
284317;osType;84465;NULL;WINDOWS;"2026-01-21 08:12:41"
284317;osVersion;84465;NULL;10.0.26200.7623;"2026-01-21 08:12:41"
284323;osType;117576;NULL;WINDOWS;"2026-01-21 08:44:38"
284323;osVersion;117576;NULL;10.0.19045.6466;"2026-01-21 08:44:38"
284324;osType;106779;NULL;WINDOWS;"2026-01-21 09:21:22"
284324;osVersion;106779;NULL;10.0.19045.6466;"2026-01-21 09:21:22"
284329;osVersion;114779;NULL;10.0.19045.6466;"2025-11-26 10:31:44"
284332;osType;111982;NULL;WINDOWS;"2025-12-27 08:34:42"
284332;osVersion;111982;NULL;10.0.19045.6466;"2025-12-27 08:34:42"
284342;osType;118269;NULL;WINDOWS;"2026-01-21 08:34:02"
284342;osVersion;118269;NULL;10.0.19045.6466;"2026-01-21 08:34:02"
284343;osType;115283;NULL;WINDOWS;"2026-01-21 08:28:41"
284343;osVersion;115283;NULL;10.0.19045.6466;"2026-01-21 08:28:41"
284347;osType;66932;NULL;WINDOWS;"2026-01-21 07:39:06"
284347;osVersion;66932;NULL;10.0.19045.6466;"2026-01-21 07:39:06"
284351;osType;115524;NULL;WINDOWS;"2026-01-20 07:44:16"
284351;osVersion;115524;NULL;10.0.22000.2538;"2026-01-20 07:44:16"
284355;osType;115525;NULL;WINDOWS;"2026-01-21 07:38:13"
284355;osVersion;115525;NULL;10.0.19045.6466;"2026-01-21 07:38:13"
284362;osType;118032;NULL;WINDOWS;"2026-01-17 12:47:08"
284362;osVersion;118032;NULL;10.0.26200.7623;"2026-01-17 12:47:08"
284363;osType;106815;NULL;WINDOWS;"2026-01-20 10:37:50"
284363;osVersion;106815;NULL;10.0.26200.7623;"2026-01-20 10:37:50"
284366;osType;118335;NULL;WINDOWS;"2026-01-14 09:38:53"
284366;osVersion;118335;NULL;10.0.26100.7462;"2026-01-14 09:38:53"
284367;osType;99233;NULL;WINDOWS;"2026-01-20 06:52:33"
284367;osVersion;99233;NULL;10.0.22631.6133;"2026-01-20 06:52:33"
284372;osType;118184;NULL;WINDOWS;"2026-01-21 07:35:34"
284372;osVersion;118184;NULL;10.0.19045.6466;"2026-01-21 07:35:34"
284373;osType;114605;NULL;WINDOWS;"2026-01-21 07:41:10"
284373;osVersion;114605;NULL;10.0.26200.7623;"2026-01-21 07:41:10"
284392;osType;117341;NULL;WINDOWS;"2026-01-21 10:02:40"
284392;osVersion;117341;NULL;10.0.19045.6396;"2026-01-21 10:02:40"
284398;osType;71169;NULL;WINDOWS;"2026-01-20 07:12:46"
284398;osVersion;71169;NULL;10.0.26200.7623;"2026-01-20 07:12:46"
284398;osType;116880;NULL;WINDOWS;"2026-01-21 07:55:26"
284398;osVersion;116880;NULL;10.0.26200.7623;"2026-01-21 07:55:26"
284402;osType;113276;NULL;WINDOWS;"2026-01-21 06:51:08"
284402;osVersion;113276;NULL;10.0.26200.7623;"2026-01-21 06:51:08"
284413;osType;117582;NULL;WINDOWS;"2026-01-21 09:08:34"
284413;osVersion;117582;NULL;10.0.19045.6466;"2026-01-21 09:08:34"
284420;osType;117775;NULL;WINDOWS;"2026-01-21 07:56:13"
284420;osVersion;117775;NULL;10.0.26200.7623;"2026-01-21 07:56:13"
284421;osType;117776;NULL;WINDOWS;"2026-01-21 07:51:13"
284421;osVersion;117776;NULL;10.0.22000.2538;"2026-01-21 07:51:13"
284423;osType;75786;NULL;WINDOWS;"2026-01-21 06:06:12"
284423;osVersion;75786;NULL;10.0.26200.7623;"2026-01-21 06:06:12"
284430;osType;71734;NULL;WINDOWS;"2026-01-20 10:53:10"
284430;osVersion;71734;NULL;10.0.19045.6466;"2026-01-20 10:53:10"
284432;osType;109038;NULL;WINDOWS;"2026-01-21 07:01:47"
284432;osVersion;109038;NULL;10.0.26200.7623;"2026-01-21 07:01:47"
284433;osType;94707;NULL;WINDOWS;"2026-01-21 08:48:50"
284433;osVersion;94707;NULL;10.0.22631.6199;"2026-01-21 08:48:50"
284434;osType;113245;NULL;WINDOWS;"2026-01-21 09:14:40"
284434;osVersion;113245;NULL;10.0.26100.7623;"2026-01-21 09:14:40"
284443;osType;117780;NULL;WINDOWS;"2026-01-19 09:09:26"
284443;osVersion;117780;NULL;10.0.26100.7623;"2026-01-19 09:09:26"
284444;osType;81090;NULL;WINDOWS;"2026-01-21 09:04:06"
284444;osVersion;81090;NULL;10.0.26100.7623;"2026-01-21 09:04:06"
284448;osType;118367;NULL;WINDOWS;"2026-01-21 07:57:29"
284448;osVersion;118367;NULL;10.0.19045.6466;"2026-01-21 07:57:29"
284451;osType;117767;NULL;WINDOWS;"2026-01-21 09:47:45"
284451;osVersion;117767;NULL;10.0.26200.7623;"2026-01-21 09:47:45"
284454;osType;67287;NULL;WINDOWS;"2026-01-21 08:51:24"
284454;osVersion;67287;NULL;10.0.19045.6466;"2026-01-21 08:51:24"
284456;osType;117782;NULL;WINDOWS;"2026-01-21 09:42:26"
284456;osVersion;117782;NULL;10.0.19045.6466;"2026-01-21 09:42:26"
284457;osType;117783;NULL;WINDOWS;"2026-01-17 11:14:27"
284457;osVersion;117783;NULL;10.0.19045.6466;"2026-01-17 11:14:27"
284461;osType;117774;NULL;WINDOWS;"2026-01-20 15:49:41"
284461;osVersion;117774;NULL;10.0.19045.6456;"2026-01-20 15:49:41"
284469;osType;117784;NULL;WINDOWS;"2026-01-21 07:57:23"
284469;osVersion;117784;NULL;10.0.26200.7623;"2026-01-21 07:57:23"
284474;osType;116304;NULL;WINDOWS;"2026-01-21 07:35:31"
284474;osVersion;116304;NULL;10.0.19045.6466;"2026-01-21 07:35:31"
284476;osType;117410;NULL;WINDOWS;"2026-01-10 05:58:09"
284476;osVersion;117410;NULL;10.0.19045.6466;"2026-01-10 05:58:09"
284479;osType;117409;NULL;WINDOWS;"2026-01-21 08:10:05"
284479;osVersion;117409;NULL;10.0.19045.6466;"2026-01-21 08:10:05"
284482;osType;117407;NULL;WINDOWS;"2026-01-21 07:05:38"
284482;osVersion;117407;NULL;10.0.26200.7623;"2026-01-21 07:05:38"
284485;osType;68703;NULL;WINDOWS;"2026-01-20 09:35:15"
284485;osVersion;68703;NULL;10.0.19045.6466;"2026-01-20 09:35:15"
284486;osType;99387;NULL;WINDOWS;"2026-01-19 18:56:50"
284486;osVersion;99387;NULL;10.0.19045.6466;"2026-01-19 18:56:50"
284487;osType;117787;NULL;WINDOWS;"2026-01-16 16:26:16"
284487;osVersion;117787;NULL;10.0.26100.7623;"2026-01-16 16:26:16"
284488;osType;117402;NULL;WINDOWS;"2026-01-20 12:02:48"
284488;osVersion;117402;NULL;10.0.19045.6466;"2026-01-20 12:02:48"
284490;osType;117412;NULL;WINDOWS;"2025-12-23 09:44:14"
284490;osVersion;117412;NULL;10.0.19045.6466;"2025-12-23 09:44:14"
284492;osType;117397;NULL;WINDOWS;"2026-01-17 18:08:55"
284492;osVersion;117397;NULL;10.0.19045.5247;"2026-01-17 18:08:55"
284497;osType;118266;NULL;WINDOWS;"2026-01-20 08:27:23"
284497;osVersion;118266;NULL;10.0.26200.7623;"2026-01-20 08:27:23"
284501;osType;118331;NULL;WINDOWS;"2026-01-13 12:56:36"
284501;osVersion;118331;NULL;10.0.26200.7171;"2026-01-13 12:56:36"
284508;osType;117481;NULL;WINDOWS;"2026-01-20 15:13:24"
284508;osVersion;117481;NULL;10.0.26200.7623;"2026-01-20 15:13:24"
284509;osType;117789;NULL;WINDOWS;"2026-01-19 20:52:53"
284509;osVersion;117789;NULL;10.0.26200.7623;"2026-01-19 20:52:53"
284510;osType;118267;NULL;WINDOWS;"2026-01-08 18:08:40"
284510;osVersion;118267;NULL;10.0.26200.7462;"2026-01-08 18:08:40"
284512;osType;117790;NULL;WINDOWS;"2026-01-21 09:38:53"
284512;osVersion;117790;NULL;10.0.26200.7623;"2026-01-21 09:38:53"
284514;osType;118350;NULL;WINDOWS;"2026-01-20 17:03:12"
